,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
155,Female,Yes,45,Yes,Marketing,8.0,0.0,4.0
156,Male,Yes,76,No,Executive,1.0,0.0,1.0
157,Female,Yes,43,Yes,Artist,3.0,1.0,4.0
158,Female,Yes,78,Yes,Lawyer,1.0,2.0,2.0
159,Male,Yes,35,Yes,Artist,3.0,1.0,3.0
160,Female,No,49,Yes,Artist,1.0,0.0,1.0
161,Female,No,25,Yes,Healthcare,1.0,0.0,5.0
162,Male,Yes,37,No,Executive,0.0,1.0,5.0
163,Female,No,32,No,Healthcare,1.0,0.0,5.0
164,Male,Yes,60,Yes,Doctor,0.0,1.0,2.0
165,Female,Yes,45,Yes,Artist,5.0,1.0,3.0
166,Female,Yes,49,Yes,Homemaker,9.0,1.0,3.0
167,Male,No,32,Yes,Artist,0.0,0.0,5.0
168,Female,Yes,40,Yes,Artist,0.0,0.0,3.0
169,Male,Yes,59,No,Artist,2.0,1.0,2.0
170,Male,Yes,48,Yes,Artist,3.0,0.0,5.0
171,Male,Yes,82,Yes,Executive,0.0,2.0,2.0
172,Female,Yes,70,Yes,Lawyer,0.0,0.0,2.0
173,Male,No,31,Yes,Artist,5.0,0.0,2.0
174,Female,Yes,72,Yes,Lawyer,0.0,2.0,2.0
175,Male,Yes,50,Yes,Artist,3.0,1.0,4.0
176,Female,No,23,No,Engineer,11.0,0.0,1.0
177,Female,No,20,No,Healthcare,2.0,0.0,6.0
178,Female,No,22,No,Healthcare,4.0,0.0,3.0
179,Female,No,31,Yes,Engineer,8.0,0.0,1.0
180,Female,Yes,36,Yes,Artist,7.0,1.0,2.0
181,Male,Yes,52,No,Entertainment,,1.0,5.0
182,Female,No,29,Yes,Artist,,0.0,1.0
183,Male,Yes,40,Yes,Artist,4.0,1.0,4.0
184,Female,No,40,Yes,Artist,1.0,0.0,1.0
185,Male,Yes,38,Yes,Artist,,0.0,2.0
186,Female,Yes,85,No,Lawyer,,0.0,2.0
187,Female,No,21,No,Doctor,1.0,0.0,3.0
188,Female,Yes,41,No,Engineer,4.0,1.0,2.0
189,Male,Yes,40,Yes,Artist,0.0,0.0,2.0
190,Male,Yes,53,Yes,Artist,1.0,1.0,3.0
191,Female,Yes,42,Yes,Artist,5.0,0.0,2.0
192,Male,Yes,42,No,Executive,8.0,0.0,2.0
193,Male,Yes,48,Yes,Artist,,1.0,4.0
194,Male,Yes,59,Yes,Artist,7.0,0.0,2.0
195,Male,Yes,41,Yes,Executive,1.0,1.0,3.0
196,Female,Yes,31,Yes,Artist,0.0,1.0,2.0
197,Female,Yes,49,Yes,Artist,1.0,2.0,5.0
198,Male,Yes,67,Yes,Executive,1.0,0.0,2.0
199,Male,Yes,35,No,Artist,4.0,1.0,2.0
200,Female,No,26,Yes,Healthcare,0.0,0.0,3.0
201,Male,Yes,19,No,Healthcare,9.0,0.0,3.0
202,Female,Yes,25,No,Engineer,6.0,1.0,8.0
203,Female,Yes,39,Yes,Healthcare,4.0,0.0,2.0
204,Male,Yes,63,Yes,Entertainment,0.0,0.0,2.0
205,Male,No,23,No,Healthcare,8.0,0.0,3.0
206,Female,No,23,No,Healthcare,0.0,0.0,3.0
207,Female,Yes,53,Yes,Artist,2.0,0.0,1.0
208,Male,No,33,Yes,Doctor,0.0,0.0,2.0
209,Female,Yes,50,No,Engineer,,1.0,4.0
210,Female,Yes,69,Yes,Engineer,0.0,0.0,2.0
211,Male,No,37,Yes,Artist,2.0,0.0,1.0
212,Female,No,20,No,Marketing,3.0,0.0,4.0
213,Female,Yes,85,No,Lawyer,0.0,2.0,1.0
214,Female,Yes,49,Yes,Doctor,1.0,1.0,4.0
215,Male,No,18,No,Healthcare,0.0,0.0,3.0
216,Female,Yes,52,Yes,Doctor,0.0,1.0,2.0
217,Male,Yes,25,No,Doctor,,1.0,2.0
218,Male,Yes,56,No,Executive,,2.0,2.0
219,Male,No,62,Yes,Artist,0.0,0.0,1.0
220,Female,No,35,Yes,Artist,0.0,0.0,3.0
221,Male,Yes,28,Yes,Engineer,0.0,1.0,2.0
222,Female,No,28,Yes,Artist,7.0,0.0,3.0
223,Male,No,20,No,Healthcare,0.0,0.0,5.0
224,Female,No,27,No,Homemaker,8.0,0.0,1.0
225,Female,No,56,No,Engineer,,0.0,1.0
226,Male,Yes,45,Yes,Artist,4.0,1.0,4.0
227,Male,No,25,Yes,Healthcare,1.0,0.0,4.0
228,Male,No,40,No,Marketing,1.0,0.0,1.0
229,Female,Yes,25,Yes,Healthcare,,0.0,2.0
230,Female,Yes,74,No,Lawyer,,2.0,2.0
231,Female,No,23,No,Healthcare,0.0,0.0,4.0
232,Female,Yes,67,Yes,Lawyer,0.0,2.0,2.0
233,Male,No,21,No,Healthcare,0.0,0.0,4.0
234,Female,No,38,Yes,Artist,9.0,0.0,1.0
235,Male,No,28,No,Healthcare,0.0,0.0,4.0
237,Female,No,33,Yes,Artist,0.0,0.0,4.0
238,Female,Yes,56,No,Lawyer,1.0,2.0,4.0
239,Female,Yes,53,Yes,Artist,1.0,0.0,2.0
240,Male,Yes,57,No,Executive,1.0,2.0,5.0
241,Female,Yes,59,Yes,Artist,0.0,1.0,3.0
242,Female,Yes,25,Yes,Healthcare,1.0,2.0,4.0
243,Male,Yes,59,Yes,Artist,0.0,1.0,6.0
244,Female,Yes,36,Yes,Artist,0.0,0.0,4.0
245,Male,Yes,37,Yes,Entertainment,7.0,0.0,2.0
246,Male,No,22,No,Doctor,1.0,0.0,3.0
247,Male,Yes,43,Yes,Artist,1.0,0.0,2.0
248,Male,Yes,41,Yes,Artist,1.0,0.0,2.0
249,Female,No,21,No,Engineer,0.0,0.0,5.0
250,Female,No,49,No,Engineer,1.0,0.0,2.0
251,Male,No,38,Yes,Doctor,8.0,0.0,1.0
252,Male,Yes,47,No,Artist,,1.0,4.0
253,Male,Yes,70,Yes,Lawyer,1.0,2.0,3.0
254,Female,No,31,No,Engineer,1.0,0.0,4.0
255,Female,Yes,82,No,Lawyer,0.0,1.0,2.0
256,Female,Yes,51,No,Executive,,0.0,1.0
257,Female,No,42,No,Homemaker,11.0,0.0,2.0
258,Male,No,38,Yes,Artist,8.0,0.0,3.0
259,Male,Yes,18,No,Executive,0.0,2.0,4.0
260,Male,Yes,50,Yes,Artist,6.0,1.0,3.0
261,Female,No,46,Yes,Doctor,1.0,0.0,2.0
262,Female,Yes,72,No,Lawyer,1.0,2.0,3.0
263,Female,No,33,No,Engineer,,0.0,4.0
264,Female,No,25,No,Homemaker,1.0,0.0,7.0
265,Female,Yes,75,No,Entertainment,2.0,2.0,2.0
266,Male,No,72,Yes,Artist,1.0,0.0,1.0
267,Female,Yes,72,Yes,Artist,0.0,1.0,3.0
268,Male,Yes,36,Yes,Entertainment,6.0,0.0,6.0
269,Male,Yes,40,Yes,Artist,1.0,0.0,2.0
270,Female,No,28,Yes,Entertainment,0.0,0.0,4.0
271,Female,No,28,Yes,Doctor,0.0,0.0,3.0
272,Male,Yes,19,No,Entertainment,0.0,2.0,3.0
273,Male,Yes,43,Yes,Artist,0.0,0.0,2.0
274,Female,Yes,35,Yes,Artist,1.0,1.0,2.0
275,Male,Yes,65,Yes,Lawyer,1.0,2.0,2.0
276,Male,Yes,52,Yes,Executive,7.0,2.0,4.0
278,Female,Yes,69,No,Engineer,9.0,0.0,3.0
279,Female,No,22,No,Healthcare,3.0,0.0,3.0
280,Male,Yes,47,Yes,Executive,1.0,1.0,4.0
281,Male,Yes,29,Yes,Marketing,1.0,2.0,2.0
282,Male,Yes,46,Yes,Artist,1.0,1.0,3.0
283,Male,No,32,Yes,Artist,1.0,0.0,2.0
284,Female,No,38,Yes,Healthcare,0.0,0.0,1.0
285,Male,Yes,59,Yes,Artist,0.0,0.0,1.0
286,Female,No,26,Yes,Entertainment,1.0,0.0,1.0
287,Male,No,26,Yes,Healthcare,1.0,0.0,2.0
288,Male,No,28,No,Marketing,0.0,0.0,1.0
289,Female,Yes,53,Yes,Engineer,1.0,1.0,3.0
290,Female,No,43,Yes,Entertainment,,0.0,1.0
291,Male,No,27,No,Doctor,1.0,0.0,3.0
292,Female,No,32,No,Artist,,0.0,8.0
293,Male,No,26,No,Engineer,0.0,0.0,4.0
294,Female,No,31,No,Entertainment,0.0,0.0,2.0
295,Male,Yes,39,Yes,Executive,1.0,2.0,3.0
296,Female,Yes,43,No,Engineer,1.0,0.0,3.0
297,Male,Yes,25,No,Doctor,1.0,0.0,2.0
298,Male,Yes,40,Yes,Artist,3.0,2.0,3.0
299,Female,Yes,40,Yes,Entertainment,7.0,1.0,2.0
300,Male,Yes,63,Yes,Entertainment,,1.0,3.0
301,Female,Yes,27,Yes,Healthcare,,0.0,2.0
302,Male,No,27,Yes,Healthcare,1.0,0.0,3.0
303,Female,No,19,No,Healthcare,1.0,0.0,2.0
304,Female,Yes,86,Yes,Lawyer,0.0,2.0,2.0
305,Male,Yes,41,Yes,Marketing,,2.0,2.0
306,Female,Yes,27,Yes,Artist,4.0,1.0,2.0
307,Female,Yes,70,No,Doctor,0.0,1.0,2.0
308,Female,Yes,53,No,Engineer,8.0,1.0,4.0
309,Female,Yes,49,No,Engineer,,1.0,4.0
310,Male,Yes,55,No,Executive,3.0,0.0,2.0
311,Female,Yes,57,Yes,Engineer,0.0,1.0,4.0
312,Male,Yes,83,No,Lawyer,,0.0,1.0
313,Male,Yes,43,No,Executive,0.0,2.0,4.0
314,Male,Yes,36,No,Doctor,6.0,0.0,3.0
315,Male,Yes,74,Yes,Lawyer,0.0,0.0,2.0
316,Female,No,30,No,Homemaker,0.0,0.0,4.0
317,Female,No,37,Yes,Artist,5.0,0.0,2.0
318,Female,No,22,No,Marketing,0.0,0.0,1.0
320,Male,Yes,70,Yes,Engineer,4.0,2.0,2.0
321,Male,Yes,89,Yes,Lawyer,13.0,0.0,1.0
322,Male,No,18,No,Healthcare,,0.0,4.0
323,Male,No,25,Yes,Doctor,6.0,0.0,1.0
324,Female,No,45,Yes,Artist,4.0,0.0,1.0
325,Female,No,35,Yes,Artist,3.0,0.0,1.0
326,Female,Yes,37,No,Engineer,7.0,0.0,1.0
327,Female,Yes,39,No,Engineer,4.0,1.0,2.0
328,Female,No,32,Yes,Healthcare,1.0,0.0,5.0
329,Female,Yes,62,Yes,Artist,2.0,1.0,3.0
330,Female,Yes,58,Yes,Engineer,0.0,1.0,4.0
331,Female,No,32,No,Engineer,,0.0,4.0
332,Male,No,25,No,Healthcare,0.0,0.0,5.0
333,Female,Yes,56,Yes,Artist,0.0,1.0,4.0
334,Female,No,36,Yes,Entertainment,10.0,0.0,2.0
335,Female,No,30,No,Healthcare,8.0,0.0,3.0
336,Male,No,19,No,Healthcare,1.0,0.0,5.0
337,Male,No,27,Yes,Healthcare,0.0,0.0,2.0
338,Female,No,38,Yes,Doctor,14.0,0.0,1.0
339,Male,Yes,46,Yes,Artist,8.0,1.0,2.0
340,Male,No,29,Yes,Artist,3.0,0.0,1.0
341,Male,Yes,51,No,Entertainment,1.0,1.0,4.0
343,Female,Yes,69,Yes,Engineer,1.0,0.0,1.0
344,Female,No,26,No,Healthcare,1.0,0.0,8.0
345,Female,Yes,83,Yes,Lawyer,0.0,0.0,3.0
346,Female,No,39,Yes,Healthcare,9.0,0.0,1.0
347,Male,Yes,35,Yes,Artist,9.0,0.0,1.0
348,Male,Yes,19,No,Marketing,2.0,2.0,5.0
349,Female,Yes,60,Yes,Artist,,2.0,4.0
350,Male,Yes,35,Yes,Artist,,1.0,4.0
351,Female,No,53,Yes,Engineer,,0.0,1.0
352,Female,Yes,86,No,Lawyer,,0.0,2.0
353,Female,No,29,No,Healthcare,1.0,0.0,3.0
354,Female,No,26,No,Doctor,0.0,0.0,1.0
355,Male,No,36,Yes,Engineer,8.0,0.0,1.0
356,Female,No,22,No,Homemaker,0.0,0.0,4.0
357,Male,No,19,No,Marketing,0.0,0.0,5.0
358,Female,Yes,20,Yes,Lawyer,1.0,1.0,3.0
359,Male,No,43,Yes,Healthcare,3.0,0.0,3.0
360,Female,No,42,Yes,Artist,,0.0,3.0
361,Male,No,43,Yes,Entertainment,1.0,0.0,2.0
362,Female,Yes,50,Yes,Engineer,4.0,2.0,3.0
363,Male,No,25,Yes,Entertainment,1.0,0.0,2.0
364,Male,Yes,61,No,Artist,1.0,2.0,2.0
365,Female,Yes,28,Yes,Healthcare,0.0,1.0,2.0
366,Male,No,38,Yes,Artist,1.0,0.0,1.0
367,Male,No,25,No,Executive,12.0,0.0,3.0
368,Female,No,18,No,Healthcare,9.0,0.0,5.0
369,Male,Yes,43,Yes,Entertainment,1.0,1.0,5.0
370,Female,No,27,Yes,Artist,8.0,0.0,1.0
371,Female,No,60,Yes,Entertainment,1.0,0.0,2.0
372,Male,Yes,75,Yes,Lawyer,2.0,0.0,1.0
373,Female,No,31,No,Doctor,,0.0,4.0
374,Male,No,23,No,Doctor,6.0,0.0,4.0
375,Male,No,36,Yes,Artist,8.0,0.0,1.0
376,Male,No,30,No,Doctor,1.0,0.0,1.0
377,Male,Yes,56,No,Artist,1.0,1.0,2.0
378,Female,Yes,52,Yes,Artist,2.0,0.0,2.0
379,Male,Yes,39,Yes,Entertainment,0.0,0.0,1.0
380,Female,No,35,No,Artist,5.0,0.0,1.0
381,Male,Yes,33,No,Engineer,0.0,1.0,2.0
382,Female,No,25,Yes,Artist,0.0,0.0,6.0
383,Female,Yes,27,Yes,Artist,0.0,1.0,2.0
384,Male,Yes,35,Yes,Artist,1.0,2.0,3.0
385,Female,Yes,41,Yes,Artist,1.0,1.0,2.0
386,Female,Yes,49,Yes,Artist,,1.0,3.0
387,Female,Yes,46,No,Artist,8.0,1.0,2.0
388,Female,No,31,No,Healthcare,,0.0,2.0
389,Male,No,49,Yes,Doctor,,0.0,1.0
390,Female,No,26,Yes,Artist,9.0,0.0,1.0
391,Male,Yes,43,Yes,Doctor,13.0,2.0,2.0
392,Female,Yes,30,Yes,Artist,8.0,0.0,4.0
393,Female,Yes,70,Yes,Artist,1.0,1.0,4.0
394,Female,No,28,Yes,Artist,,0.0,1.0
395,Female,Yes,89,No,Lawyer,3.0,2.0,1.0
396,Female,Yes,42,No,Homemaker,6.0,2.0,4.0
397,Female,Yes,37,Yes,Entertainment,6.0,1.0,3.0
398,Male,Yes,29,No,Executive,1.0,1.0,3.0
399,Female,Yes,68,Yes,Artist,1.0,2.0,2.0
400,Female,No,25,No,Engineer,1.0,0.0,1.0
401,Male,No,29,No,Healthcare,1.0,0.0,2.0
402,Female,Yes,48,Yes,Doctor,0.0,0.0,2.0
403,Female,Yes,51,Yes,Doctor,1.0,1.0,3.0
404,Female,Yes,40,Yes,Engineer,1.0,2.0,5.0
405,Male,Yes,47,Yes,Artist,0.0,1.0,6.0
406,Male,Yes,39,Yes,Executive,,2.0,3.0
407,Male,Yes,35,Yes,Executive,1.0,1.0,4.0
408,Female,No,19,No,Healthcare,2.0,0.0,3.0
409,Female,No,21,No,Healthcare,7.0,0.0,2.0
410,Male,Yes,46,Yes,Entertainment,0.0,1.0,3.0
411,Male,Yes,86,Yes,Lawyer,0.0,0.0,1.0
412,Male,Yes,66,Yes,Artist,0.0,2.0,2.0
413,Male,No,42,No,Marketing,1.0,0.0,5.0
414,Female,Yes,73,Yes,Lawyer,1.0,2.0,2.0
415,Male,Yes,72,No,Engineer,1.0,0.0,1.0
416,Male,Yes,53,Yes,Artist,0.0,0.0,3.0
417,Female,Yes,39,Yes,Artist,8.0,1.0,2.0
418,Female,No,27,No,Homemaker,9.0,0.0,1.0
419,Male,Yes,63,No,Entertainment,1.0,1.0,2.0
420,Female,No,23,No,Healthcare,1.0,0.0,3.0
421,Female,No,30,Yes,Entertainment,0.0,0.0,4.0
422,Female,Yes,39,Yes,Artist,5.0,1.0,2.0
423,Male,Yes,26,Yes,Artist,1.0,1.0,3.0
424,Female,Yes,50,Yes,Entertainment,7.0,0.0,3.0
425,Female,Yes,45,Yes,Artist,1.0,1.0,2.0
426,Female,No,62,No,Entertainment,2.0,0.0,1.0
427,Female,No,27,Yes,Doctor,1.0,0.0,3.0
428,Male,Yes,57,Yes,Entertainment,1.0,0.0,2.0
429,Female,Yes,30,No,Engineer,1.0,1.0,7.0
430,Male,No,32,No,Healthcare,7.0,0.0,4.0
431,Male,No,18,Yes,Executive,,0.0,5.0
432,Male,No,47,No,Artist,3.0,0.0,3.0
433,Female,No,32,Yes,Artist,4.0,0.0,4.0
434,Female,Yes,32,No,Engineer,5.0,0.0,3.0
435,Male,Yes,67,Yes,Doctor,1.0,1.0,4.0
436,Female,Yes,77,Yes,Lawyer,0.0,2.0,2.0
437,Male,Yes,79,No,Artist,0.0,1.0,2.0
438,Male,No,31,No,Entertainment,1.0,0.0,1.0
439,Male,Yes,42,Yes,Artist,0.0,0.0,3.0
440,Female,No,18,No,Artist,0.0,0.0,6.0
441,Male,Yes,50,Yes,Artist,1.0,1.0,4.0
442,Male,Yes,71,Yes,Artist,0.0,1.0,5.0
443,Female,Yes,72,No,Lawyer,1.0,0.0,3.0
444,Male,Yes,47,Yes,Artist,,0.0,3.0
445,Male,Yes,45,Yes,Artist,9.0,1.0,2.0
446,Female,No,40,No,Engineer,9.0,0.0,5.0
447,Female,No,36,Yes,Engineer,4.0,0.0,1.0
448,Female,No,42,Yes,Artist,,0.0,1.0
449,Male,No,30,No,Healthcare,4.0,0.0,4.0
450,Female,No,29,Yes,Healthcare,2.0,0.0,4.0
451,Male,No,28,Yes,Engineer,0.0,0.0,5.0
452,Male,Yes,22,No,Healthcare,,0.0,2.0
453,Male,Yes,85,No,Lawyer,,0.0,1.0
454,Female,Yes,40,Yes,Artist,1.0,1.0,2.0
455,Female,Yes,52,Yes,Artist,14.0,1.0,2.0
456,Male,Yes,47,Yes,Artist,0.0,0.0,2.0
457,Male,No,26,No,Artist,6.0,0.0,6.0
458,Female,No,55,Yes,Marketing,3.0,0.0,1.0
459,Female,No,20,No,Doctor,4.0,0.0,4.0
460,Female,Yes,87,Yes,Lawyer,0.0,2.0,2.0
461,Male,No,28,No,Healthcare,0.0,0.0,2.0
462,Male,No,38,No,Artist,2.0,0.0,2.0
463,Male,Yes,42,No,Entertainment,1.0,0.0,2.0
464,Male,Yes,42,No,Marketing,0.0,2.0,6.0
465,Female,No,29,No,Engineer,1.0,0.0,4.0
466,Male,No,32,Yes,Doctor,0.0,0.0,4.0
